Name,From,To,Country,Type,Unit,SpecificWeight,Volume,N,Norg,Nmin,N-slow,N-ureum,NH4,NO3,N-Amide,P2O5,K2O,MgO,CaO,SO3,Na2O,Cl,Cu,Co,B,Mo,Fe,Mn,Zn,SiO2,Se,Pb,CODE_NL_CL022
Top Trace Mg/Mn,,,NL,MAN,LIT,,,6.9,,,,,,,,,,8,,,,,,,,,,2.7,,,,,3260
Vivifos (DCM),,,NL,MAN,KG,,,4,,,,,,,,30,,,,,,,,,,,,,,,,,3429
NK Mix 15+31,,,NL,MAN,KG,,,15,,,,,,,,,31,,,,,,,,,,,,,,,,3273
Bietenmix,,,NL,MAN,KG,,,15.5,,,,,,,,,,1.4,0.2,6.3,18.5,,,,,,,,,,,,2188
Topmix (18+0+18),,,NL,MAN,KG,,,18,,,,,,,,,18,,,,,,,,,,,,,,,,2189
Orgaplus Sierteelt,,,NL,MAN,KG,,,3,,,,,,,,3,3,0.95,10,3.5,,,6.4,,2.7,,8.2,27.9,22,,,,3398
Orgaplus Bloembollen,,,NL,MAN,KG,,,3,,,,,,,,3,3,0.95,10,3.5,,,6.4,,2.7,,8.2,27.9,22,,,,3399
Foliplus Borium,,,NL,MAN,LIT,1.36,,,,,,,,,,,,,,,,,,,11,,,,,,,,3401
Foliplus Duo Ca+Mg,,,NL,MAN,LIT,1.46,,8.3,,,,,,,,,,2.5,9.05,,,,,,,,,,,,,,3402
Foliplus Duo Ca+B,,,NL,MAN,LIT,1.44,,,,,,,,,,,,,11.8,,,,,,6.95,,,,,,,,3403
Foliplus Koper,,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,,,,25,,,,,,,,,,3404
Foliplus Magnesium,,,NL,MAN,LIT,1.35,,7.05,,,,,,,,,,10,,,,,,,,,,,,,,,3405
Foliplus Magnesiumnitraat,,,NL,MAN,LIT,1.48,,6.75,,,,,,,,,,13.5,,,,,,,,,,,,,,,3406
Foliplus Duo Mn+Mg,,,NL,MAN,LIT,1.46,,6.5,,,,,,,,,,7.4,,,,,,,,,,2.75,,,,,3407
Foliplus Kali,,,NL,MAN,LIT,1.5,,3,,,,,,,,,33,,,,,,,,,,,,,,,,3408
Foliplus Protein,,,NL,MAN,LIT,1.31,,21,,,,,,,,,,3,,8,,,,,,,,,,,,,3409
Foliplus Total N,,,NL,MAN,LIT,1.13,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,3410
Foliplus Amino NPK,,,NL,MAN,LIT,1.38,,14.5,,,,,,,,14.5,14.5,,,,,,,,,,,,,,,,3411
Top Trace Efficiency N,,,NL,MAN,LIT,1.18,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,3412
Foliplus Mangaancarbonaat,,,NL,MAN,LIT,1.49,,,,,,,,,,,,,,,,,,,,,,26,,,,,3413
NP 20+8 + 6MgO + 12SO3,,,NL,MAN,KG,,,20,,,,,,,,8,,6,,12,,,,,,,,,,,,,3414
Power Start 13+14 + 7 SO3,,,NL,MAN,LIT,,,13,,,,,,,,14,,,,7,,,,,,,,,,,,,3415
Power Leaf Kali PlusS,,,NL,MAN,LIT,,,,,,,,,,,,25,,,42,,,,,,,,,,,,,3416
Foliplus Mangaannitraat,,,NL,MAN,LIT,1.4,,7.1,,,,,,,,,,,,,,,,,,,,14.2,,,,,3417
CuForte,,,NL,MAN,LIT,1.53,,,,,,,,,,,,,,,,,25,,,,,,,,,,3418
HF Koper 435,,,NL,MAN,LIT,1.33,,,,,,,,,,,,,,,,,33,,,,,,,,,,3419
Aardappel-Optimaal,,,NL,MAN,KG,,,20,,,,,,,,8,,6,,12,,,,,,,,,,,,,3420
Aardappelmix,,,NL,MAN,KG,,,13,,,,,,,,,15.5,6,,21,,,,,,,,,,,,,3421
Activ'N 13-0-17,,,NL,MAN,KG,,,13,,,,,,,,,17,3,3,25,,,,,,,,,,,,,3422
K-Algo 29,,,NL,MAN,KG,,,,,,,,,,,,29,10,9,10,,,,,,,,,,,,,3423
PhysiomaG,,,NL,KLK,KG,,,,,,,,,,,,,11,34,,,,,,,,,,,,,,3424
Activ'N 13-5-17,,,NL,MAN,KG,,,13,,,,,,,,5,17,3,4,20,,,,,,,,,,,,,3425
Foliplus Calcium Xtra,,,NL,MAN,LIT,1.4,,8,,,,,,,,,,,14,,,,,,,,,,,,,,3426
PRP Evb,,,NL,MAN,LIT,1.1,,,,,,,,,,,3.5,,,,,,0.02,,,,,,,,,,3427
FytoFert-S,,,NL,MAN,LIT,1.4,,,,,,,,,,,,,,25,,,,,,,,,,,,,3428
Vivifos (DCM),,,NL,MOR,KG,,,4,2,2,,,,,,30,,,,,,,,,,,,,,,,,3429
Quickstart PK,,,NL,MAN,LIT,1.4,,,,,,,,,,25,13,,,,,,,,,,,,,,,,3431
Quickstart NP,,,NL,MAN,LIT,1.27,,14,,,,,,,,20,,,,,,,,,,,,,,,,,3432
N-xt FertiPhos,,,NL,MAN,LIT,1.21,,6,,,,,,,,21,,,,1.2,,,,,,,,,,,,,3433
KaliZwavel HF,,,NL,MAN,LIT,1.47,,,,,,,,,,,24,,,43,,,,,,,,,,,,,3434
Top Trace Total K,,,NL,MAN,LIT,1.15,,7,,,,,,,,,10,,,,,,0.023,,0.012,,,0.07,,,,,3435
Krypton,,,NL,MAN,LIT,1.26,,28,,,,,,,,,,,,,,,,,,,,,,,,,3436
Crop Fuel,,,NL,MAN,LIT,1.35,,2.5,,,,,,,,13.5,13.5,0.025,,0.15,,,0.005,,0.12,,,0.14,0.045,,,,3437
Hydrokalk,,,NL,KLK,KG,,,,,,,,,,,,,4,,,,,,,,,,,,,,,3438
Aspergemix,,,NL,MAN,KG,,,,,,,,,,,,,5,,10,40,,,,,,,,,,,,3439
Calcifert S,,,NL,KLK,KG,,,,,,,,,,,,,,46,55,,,,,,,,,,,,,3440
APP 11-37,,,NL,MAN,LIT,1.43,,11,,,,,,,,37,,,,,,,,,,,,,,,,,3441
APP 10-34,,,NL,MAN,LIT,1.38,,10,,,,,,,,34,,,,,,,,,,,,,,,,,3442
Top Mix Pootgoed,,,NL,MAN,KG,,,12.6,,,,,,,,21.6,,5.4,10.8,20.1,,,,,,,,,,,,,3443
Top Trace Zwavel 600 SC,,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,3444
Foliplus Zwavel,,,NL,MAN,LIT,,,4.2,,,,,,,,,,3.2,,100,,,0.6,,,,,,,,,,3445
Zink Fl,,,NL,MAN,LIT,1.74,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,3446
Polysulphate,,,NL,MAN,LIT,1.8,,,,,,,,,,,14,6,17,48,4,5,,,,,,,,,,,3447
Pootaardappel Blend 12-0-31,,,NL,MAN,KG,,,12,,,,,,,,,31,,,,,,,,,,,,,,,,3449
Uien Blend 15-8-21,,,NL,MAN,KG,,,15,,,,,,,,8,22,,,,,,,,,,,,,,,,3450
P-Focus,,,NL,MAN,LIT,1.28,,10,,,,,,,,18,4,,,1,,,,,,,,0.5,0.5,,,,3451
NPK 12-0-22,,,NL,MAN,KG,,,12,,,,,,,,,22,,,,,,,,,,,,,,,,3452
Power Basic 140 22+0+0 + 10 SO3,,,NL,MAN,KG,,,22,,,,,,,,,,,,10,,,,,,,,,,,,,3448
Powerstart 470 Granulaat,,,NL,MAN,KG,,,12,,,,,,,,43,,,,11,,,,,,,,,0.7,,,,3453
Salpeterzuur,,,NL,MAN,LIT,1.32,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,3454
ACS Magnesiumfosfiet Plus,,,NL,MAN,LIT,1.36,,9.8,,,,,,,,26,,7,,,,,,,,,,,,,,,3455
Kali TS 340,,,NL,MAN,LIT,1.5,,2.9,,,,,,,,,22.7,,,38.5,,,,,,,,,,,,,3456
Brassitrel Pro,,,NL,MAN,LIT,1.54,,4.5,,,,,,,,,,7.7,8.1,,,,,,3.9,0.3,,4.5,,,,,3457
Gramitrel,,,NL,MAN,LIT,1.64,,3.9,,,,,,,,,,15.2,,,,,3,,,,,9.1,4.8,,,,3458
Thiotrac 300,,,NL,MAN,LIT,1.32,,15.2,,,,,,,,,,,,56.8,,,,,,,,,,,,,3459
Stimplex,,,NL,MAN,LIT,1.12,,0.5,,,,,,,,2.5,3,,,0.2,,,,,,,,,,,,,3460
Maxi Start Microgranulaat 10+31 + 20SO3,,,NL,MAN,KG,,,10,,,,,,,,31,,,,20,,,,,,,,,,,,,3461
Top Mix NK 23+0+9,,,NL,MAN,KG,,,23,,,,,,,,,9,,,,,,,,,,,,,,,,3462
Top Mix Pootgoed,,,NL,MAN,KG,,,12.6,,,,,,,,21.6,,5.4,10.8,20.1,,,,,,,,,,,,,3443
Top Mix Wortel,,,NL,MAN,KG,,,5.3,,,,,,,,9,21.8,8.1,21.8,29.4,,,,,0.1,,,,,,,,3465
Top Mix Zomergraan,,,NL,MAN,KG,,,15,,,,,,,,,23.7,4,0.7,7.3,,,,,,,,,,,,,3466
Korrelgips,,,NL,KLK,KG,,,,,,,,,,,,,,33,,,,,,,,,,,,,,3467
Nitrabor,,,NL,MAN,KG,,,15.4,,,,,,,,,,,26,,,,,,0.3,,,,,,,,?
N-xt Calcium N9 Ca B,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3469
N-xt FertiPhos,,,NL,MAN,LIT,1.24,,,,,,,,,,21,,,,,,,,,,,,,,,,,3433
N-xt N 18 Ca Mg Mn,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3470
N-xt NP 18-14 B Zn,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3472
N-xt NP 22-5 B Zn,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3471
N-xt NP 22-8 B Zn,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3473
Top Mix Pootgoed Midden,,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,3464
